,return,agent,env,learning_rate,regularization_beta,test_results
0,22.0,OpenAI-DeepQ,CartPole-v0,0,0,22.0
1,20.0,OpenAI-DeepQ,CartPole-v0,0,0,20.0
2,19.0,OpenAI-DeepQ,CartPole-v0,0,0,19.0
3,14.0,OpenAI-DeepQ,CartPole-v0,0,0,14.0
4,14.0,OpenAI-DeepQ,CartPole-v0,0,0,14.0
5,41.0,OpenAI-DeepQ,CartPole-v0,0,0,41.0
6,39.0,OpenAI-DeepQ,CartPole-v0,0,0,39.0
7,18.0,OpenAI-DeepQ,CartPole-v0,0,0,18.0
8,14.0,OpenAI-DeepQ,CartPole-v0,0,0,14.0
9,24.0,OpenAI-DeepQ,CartPole-v0,0,0,24.0
10,15.0,OpenAI-DeepQ,CartPole-v0,0,0,15.0
11,31.0,OpenAI-DeepQ,CartPole-v0,0,0,31.0
12,25.0,OpenAI-DeepQ,CartPole-v0,0,0,25.0
13,26.0,OpenAI-DeepQ,CartPole-v0,0,0,26.0
14,28.0,OpenAI-DeepQ,CartPole-v0,0,0,28.0
15,14.0,OpenAI-DeepQ,CartPole-v0,0,0,14.0
16,32.0,OpenAI-DeepQ,CartPole-v0,0,0,32.0
17,11.0,OpenAI-DeepQ,CartPole-v0,0,0,11.0
18,12.0,OpenAI-DeepQ,CartPole-v0,0,0,12.0
19,27.0,OpenAI-DeepQ,CartPole-v0,0,0,27.0
20,21.0,OpenAI-DeepQ,CartPole-v0,0,0,21.0
21,10.0,OpenAI-DeepQ,CartPole-v0,0,0,10.0
22,12.0,OpenAI-DeepQ,CartPole-v0,0,0,12.0
23,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
24,13.0,OpenAI-DeepQ,CartPole-v0,0,0,13.0
25,32.0,OpenAI-DeepQ,CartPole-v0,0,0,32.0
26,12.0,OpenAI-DeepQ,CartPole-v0,0,0,12.0
27,30.0,OpenAI-DeepQ,CartPole-v0,0,0,30.0
28,11.0,OpenAI-DeepQ,CartPole-v0,0,0,11.0
29,26.0,OpenAI-DeepQ,CartPole-v0,0,0,26.0
30,29.0,OpenAI-DeepQ,CartPole-v0,0,0,29.0
31,10.0,OpenAI-DeepQ,CartPole-v0,0,0,10.0
32,19.0,OpenAI-DeepQ,CartPole-v0,0,0,19.0
33,22.0,OpenAI-DeepQ,CartPole-v0,0,0,22.0
34,10.0,OpenAI-DeepQ,CartPole-v0,0,0,10.0
35,17.0,OpenAI-DeepQ,CartPole-v0,0,0,17.0
36,11.0,OpenAI-DeepQ,CartPole-v0,0,0,11.0
37,12.0,OpenAI-DeepQ,CartPole-v0,0,0,12.0
38,16.0,OpenAI-DeepQ,CartPole-v0,0,0,16.0
39,22.0,OpenAI-DeepQ,CartPole-v0,0,0,22.0
40,38.0,OpenAI-DeepQ,CartPole-v0,0,0,38.0
41,17.0,OpenAI-DeepQ,CartPole-v0,0,0,17.0
42,10.0,OpenAI-DeepQ,CartPole-v0,0,0,10.0
43,46.0,OpenAI-DeepQ,CartPole-v0,0,0,46.0
